Time,Variable,AssetId,Value
2019-11-25 13:06:20.2970000,power,abc123xyz,-447.5350036
2019-11-25 13:06:28.7190000,power,abc123xyz,-441.2479858
2019-11-25 13:06:29.7480000,power,abc123xyz,-440
2019-11-25 13:06:33.3450000,power,abc123xyz,-437.2349853
2019-11-25 13:06:34.8330000,power,abc123xyz,-438.8850097
2019-11-25 13:06:39.9930000,power,abc123xyz,-436.7890014
2019-11-25 13:06:44.5200000,power,abc123xyz,-433.178009
2019-11-25 13:06:50.0110000,power,abc123xyz,-431.8399963
2019-11-25 13:06:53.0040000,power,abc123xyz,-432.9100036
2019-11-25 13:06:54.0290000,power,abc123xyz,-431.7950134
2019-11-25 13:06:57.1510000,power,abc123xyz,-433.178009
2019-11-25 13:07:00.5760000,power,abc123xyz,-431.6619873
2019-11-25 13:07:03.3990000,power,abc123xyz,-430.145996
2019-11-25 13:07:04.9930000,power,abc123xyz,-428.941986
2019-11-25 13:07:06.7370000,power,abc123xyz,-434.9169921
2019-11-25 13:07:09.9460000,power,abc123xyz,-438.0820007
2019-11-25 13:07:11.0410000,power,abc123xyz,-440.3559875
2019-11-25 13:07:13.2470000,power,abc123xyz,-441.6940002
2019-11-25 13:07:15.0080000,power,abc123xyz,-439.777008
2019-11-25 13:07:16.0330000,power,abc123xyz,-441.0700073
2019-11-25 13:07:18.6240000,power,abc123xyz,-439.5090026
2019-11-25 13:07:19.6330000,power,abc123xyz,-440.8909912
2019-11-25 13:07:21.9950000,power,abc123xyz,-439.7319946
2019-11-25 13:07:24.4210000,power,abc123xyz,-437.3240051
2019-11-25 13:07:25.9750000,power,abc123xyz,-433.0440063
2019-11-25 13:07:27.7400000,power,abc123xyz,-431.9289855
2019-11-25 13:07:31.6630000,power,abc123xyz,-430.4129943
2019-11-25 13:07:34.2630000,power,abc123xyz,-431.4389953
2019-11-25 13:07:36.9110000,power,abc123xyz,-432.4639892
2019-11-25 13:07:40.4910000,power,abc123xyz,-431.4389953
2019-11-25 13:07:41.5980000,power,abc123xyz,-433.0440063
2019-11-25 13:07:42.9180000,power,abc123xyz,-430.5920104
2019-11-25 13:07:44.7370000,power,abc123xyz,-432.152008
2019-11-25 13:07:45.8240000,power,abc123xyz,-435.0499877
2019-11-25 13:07:48.3860000,power,abc123xyz,-438.8399963
2019-11-25 13:07:49.6360000,power,abc123xyz,-434.4259948
2019-11-25 13:07:55.9050000,power,abc123xyz,-431.7059936
2019-11-25 13:08:07.7880000,power,abc123xyz,-429.4320068
2019-11-25 13:08:09.0260000,power,abc123xyz,-428.0950012
2019-11-25 13:08:11.5240000,power,abc123xyz,-426.8009948
2019-11-25 13:08:13.8380000,power,abc123xyz,-430.9930114
2019-11-25 13:08:15.9420000,power,abc123xyz,-429.9230041
2019-11-25 13:08:19.9860000,power,abc123xyz,-428.1390075
2019-11-25 13:08:22.0740000,power,abc123xyz,-425.375
2019-11-25 13:08:29.4170000,power,abc123xyz,-422.4760131
2019-11-25 13:08:36.9490000,power,abc123xyz,-424.1709899
2019-11-25 13:08:38.6020000,power,abc123xyz,-428.2730102
